NativeObjectName,InstanceName,AggregationStatisticCV,IntervalTimeUnitName,AggregationInterval,UnitName,AttributeTypeCodeCV
"Demand Site","Box Elder;County Urban (6)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Box Elder;County Urban (6)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Bird Refuge (3)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Bird Refuge (3)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","New Box Elder County;Agriculture (7)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","New Box Elder County;Agriculture (7)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Bear River;Canal Company (2)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Bear River;Canal Company (2)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Cache Valley Agriculture (5)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Cache Valley Agriculture (5)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","New Cache County;M and I (8)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","New Cache County;M and I (8)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","South Cache;Existing (4)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","South Cache;Existing (4)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","South Cache;New (4)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","South Cache;New (4)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Wasatch Front (21)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Wasatch Front (21)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Weber Basin Project (20)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Weber Basin Project (20)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Dummy Junction2 (99)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Dummy Junction2 (99)","Monthly Demand",,"cubic meter",,,"WEAP","T"
"Demand Site","Box Elder;County Urban (6)","Consumption",,"percent",,,"WEAP","T"
"Demand Site","Box Elder;County Urban (6)","Consumption",,"percent",,,"WEAP","T"
"Demand Site","Bird Refuge (3)","Consumption",,"percent",,,"WEAP","T"
