"WEAP","Catchment","Node","ObjectInstances"
"WEAP","Catchment","Node","Area"
"WEAP","Catchment","Node","Kc"
"WEAP","Catchment","Node","Effective Precipitation"
"WEAP","Catchment","Node","Precipitation"
"WEAP","Catchment","Node","ETref"
"WEAP","Catchment","Node","Loss Rate"
"WEAP","Catchment","Node","Reuse Rate"
"WEAP","Catchment","Node","Potential Yield"
"WEAP","Catchment","Node","Yield Response Factor"
"WEAP","Catchment","Node","Market Price"
"WEAP","Catchment","Node","DO Intensity"
"WEAP","Catchment","Node","BOD Intensity"
"WEAP","Catchment","Node","BOD Concentration"
"WEAP","Catchment","Node","DO Concentration"
"WEAP","Catchment","Node","DO Inflow"
"WEAP","Catchment","Node","BOD Inflow"
"WEAP","Catchment","Node","Capital Costs"
"WEAP","Catchment","Node","Variable Operating Costs"
"WEAP","Catchment","Node","Fixed Operating Costs"
"WEAP","Catchment","Node","Variable Benefits"
"WEAP","Catchment","Node","Fixed Benefits"
"WEAP","Catchment","Node","Demand Priority"
"WEAP","Catchment","Node","Plant Factor"
"WEAP","Catchment","Node","Hydropower Priority"
"WEAP","Catchment","Node","Energy Demand"
"WEAP","Catchment","Node","Electricity Revenue"
"WEAP","Catchment","Node","Max Turbine Flow"
"WEAP","Catchment","Node","Generating Efficiency"
"WEAP","Catchment","Node","Fixed Head"
"WEAP","Demand Site","Node","ObjectInstances"
"WEAP","Demand Site","Node","Monthly Demand"
"WEAP","Demand Site","Node","Monthly Variation"
"WEAP","Demand Site","Node","Loss Rate"
"WEAP","Demand Site","Node","Reuse Rate"
"WEAP","Demand Site","Node","DO Intensity"
"WEAP","Demand Site","Node","BOD Intensity"
"WEAP","Demand Site","Node","BOD Concentration"
"WEAP","Demand Site","Node","DO Concentration"
"WEAP","Demand Site","Node","DO Inflow"
"WEAP","Demand Site","Node","BOD Inflow"
"WEAP","Demand Site","Node","Capital Costs"
"WEAP","Demand Site","Node","Variable Operating Costs"
"WEAP","Demand Site","Node","Fixed Operating Costs"
"WEAP","Demand Site","Node","Variable Benefits"
"WEAP","Demand Site","Node","Fixed Benefits"
"WEAP","Demand Site","Node","Demand Priority"
"WEAP","Demand Site","Node","Consumption"
"WEAP","Diversion","Link","ObjectInstances"
"WEAP","Diversion","Link","Capital Costs"
"WEAP","Diversion","Link","Variable Operating Costs"
"WEAP","Diversion","Link","Fixed Operating Costs"
"WEAP","Diversion","Link","Variable Benefits"
"WEAP","Diversion","Link","Fixed Benefits"
"WEAP","Diversion","Link","Maximum Diversion"
"WEAP","Diversion","Link","BOD Concentration"
"WEAP","Diversion","Link","DO Concentration"
"WEAP","Diversion Outflow","Node","ObjectInstances"
"WEAP","Groundwater","Node","ObjectInstances"
"WEAP","Groundwater","Node","Capital Costs"
"WEAP","Groundwater","Node","Variable Operating Costs"
"WEAP","Groundwater","Node","Fixed Operating Costs"
"WEAP","Groundwater","Node","Variable Benefits"
"WEAP","Groundwater","Node","Fixed Benefits"
"WEAP","Groundwater","Node","Storage Capacity"
"WEAP","Groundwater","Node","Initial Storage"
"WEAP","Groundwater","Node","Maximum Withdrawal"
"WEAP","Groundwater","Node","Natural Recharge"
"WEAP","Groundwater","Node","DO Concentration"
"WEAP","Groundwater","Node","BOD Concentration"
"WEAP","Other","Node",
